Id	code	XCor	YCor	Comment
1	PL_CITADEL_GLOOM	9	1	
2	PL_KEEP_OF_LORGRIM	47	4	
3	PL_DESPAIR_KEEP_3	29	5	
4	PL_CITADEL_VORGATH	23	6	
5	PL_KEEP_OF_DEATH	33	7	
6	PL_DESPAIR_KEEP_6	24	8	
7	PL_CITADEL_USHGARAK	30	8	
8	PL_CITADEL_GRARG	38	8	
9	PL_GRARG_KEEP_9	41	9	
10	PL_KEEP_OF_FADRATH	58	9	
11	PL_GRARG_KEEP_11	40	10	
12	PL_KEEP_OF_LOTHORIL	12	11	
13	PL_LOST_KEEP_13	22	12	
14	PL_UGRAK_KEEP_14	26	12	
15	PL_CITADEL_KOR	30	13	
16	PL_KOR_KEEP_16	37	13	
17	PL_KEEP_OF_ITHRIL	52	13	
18	PL_KEEP_OF_DROON	63	13	
19	PL_GLORIM_KEEP_19	17	14	
20	PL_ITHRIL_KEEP_20	56	14	
21	PL_CITADEL_ITHRORN	58	16	
22	PL_GLORIM_KEEP_22	15	17	
23	PL_KOR_KEEP_23	28	17	
24	PL_KOR_KEEP_24	35	17	
25	PL_CITADEL_DREAMS	43	17	
26	PL_ITHRIL_KEEP_26	53	17	
27	PL_KOR_KEEP_27	20	18	
28	PL_KOR_KEEP_28	23	19	
29	PL_ITHRIL_KEEP_29	55	19	
30	PL_KORKITH_KEEP_30	15	21	
31	PL_ITHRIL_KEEP_31	50	21	
32	PL_KEEP_OF_WHISPERS	58	21	
33	PL_CITADEL_KORKITH	19	22	
34	PL_KOR_KEEP_34	43	22	
35	PL_KEEP_OF_KOR	32	23	
36	PL_ITHRIL_KEEP_36	47	23	
37	PL_KOR_KEEP_37	40	24	
38	PL_HERATH_KEEP_38	57	25	
39	PL_KOR_KEEP_39	33	26	
40	PL_KEEP_HERATH	46	27	
41	PL_HERATH_KEEP_41	55	27	
42	PL_VALETHOR_KEEP_42	35	28	
43	PL_KEEP_OF_VALETHOR	18	29	
44	PL_MARAKITH_KEEP_44	43	29	
45	PL_CITADEL_GORGARTH	25	30	
46	PL_VALETHOR_KEEP_46	31	30	
47	PL_KEEP_OF_KUMAR	52	30	
48	PL_CITADEL_KUMAR	58	30	
49	PL_TARG_KEEP_49	56	32	
50	PL_VALETHOR_KEEP_50	22	33	
51	PL_VALETHOR_KEEP_51	24	33	
52	PL_CITADEL_MARAKITH	44	33	
53	PL_KEEP_OF_DODRAK	14	34	
54	PL_KEEP_OF_MARAKITH	35	34	
55	PL_BLOOD_KEEP_55	31	35	
56	PL_KEEP_OF_UTARG	60	35	
57	PL_KEEP_OF_BLOOD	22	37	
58	PL_KEEP_OF_ANTHORIL	55	39	
59	PL_BLOOD_KEEP_59	28	40	
60	PL_BLOOD_KEEP_60	23	41	
61	PL_BLOOD_KEEP_61	26	41	
62	PL_DAWN_KEEP_62	49	41	
63	PL_DAWN_KEEP_63	43	42	
64	PL_KEEP_OF_DREGRIM	56	42	
65	PL_KEEP_OF_THEMOON	18	43	
66	PL_CITADEL_SHIMERIL	29	43	
67	PL_KEEP_OF_DAWN	38	44	
68	PL_CITADEL_DREGRIM	60	44	
69	PL_CITADEL_DAWN	45	46	
70	PL_KEEP_OF_MITHARG	30	47	
71	PL_DAWN_KEEP_71	43	47	
72	PL_KEEP_OF_TORKREN	8	48	
73	PL_KEEP_OF_GARD	11	48	
74	PL_TRORN_KEEP_74	49	49	
75	PL_KEEP_OF_BRITH	22	50	
76	PL_KEEP_OF_CORELAY	46	50	
77	PL_KEEP_OF_TRORN	55	51	
78	PL_KEEP_OF_MORNING	40	52	
79	PL_MORNING_KEEP_79	43	52	
80	PL_TRORN_KEEP_80	51	52	
81	PL_CORELAY_KEEP_81	47	53	
82	PL_GARD_KEEP_82	13	55	
83	PL_KEEP_OF_ODRARK	26	55	
84	PL_CORELAY_KEEP_84	45	55	
85	PL_CORELAY_KEEP_85	56	55	
86	PL_KEEP_OF_SILENCE	8	56	
87	PL_CITADEL_GARD	11	56	
88	PL_KEEP_OF_ISHMALAY	18	57	
89	PL_BRITH_KEEP_89	22	57	
90	PL_CORELAY_KEEP_90	38	57	
91	PL_SILENCE_KEEP_91	9	58	
92	PL_GARD_KEEP_92	13	58	
93	PL_CORELAY_KEEP_93	40	59	
94	PL_CORELAY_KEEP_94	57	59	
95	PL_CORELAY_KEEP_95	64	59	
96	PL_CORELAY_KEEP_96	43	60	
97	PL_CITADEL_XAJORKITH	46	60	
98	PL_TORKREN_KEEP_98	5	61	
99	PL_BRITH_KEEP_102	15	61	
100	PL_KEEP_OF_RORATH	24	61	
101	PL_KEEP_OF_THIMRATH	34	61	
102	PL_CORELAY_KEEP_101	60	61	
103	PL_WEIRDHENGE	19	4	
104	PL_CAVERN_OF_CRARG	43	12	
105	PL_OGRIM_LITH_106	8	22	
106	PL_RUIN_KUMAR_111	63	25	
107	PL_LITH_OF_ASHIMAR	7	38	
108	PL_LAKE_ASHIMAR	3	40	
109	PL_LITH_OF_SHIMERIL	30	45	
110	PL_PLAINS_TORKREN_109	1	48	
111	PL_RUIN_OF_RORATH	28	58	
112	PL_RUIN_OF_ODRARK	21	61	
113	PL_TOWER_OF_THE_MOON	13	41	
114	PL_RUIN_OF_COROTH	13	24	
115	PL_MOONHENGE	2	11	
116	PL_TOWER_OF_LORGRIM	63	1	
117	PL_TOWER_OF_DOOM	27	5	
118	PL_LAKE_MIRROW	10	18	
119	PL_VILLAGE_OF_THRALL	34	39	
120	PL_VILLAGE_OF_KOR	24	22	
121	PL_ICE_FEAR_CENTRE	27	5	